unit name,move,save,bravery,wounds,num boxes,keywords,num casts,meta,w1range,w1attacks,w1hit,w1wound,w1rend,w1damage,w2range,w2attacks,w2hit,w2wound,w2rend,w2damage,w3range,w3attacks,w3hit,w3wound,w3rend,w3damage,w4range,w4attacks,w4hit,w4wound,w4rend,w4damage
hag queen,6,5,8,5,2,"order,aelf,daughters of khaine,hero,priest,hag queen",0,1,1,4,3,4,1,1,,,,,,,,,,,,,,,,,,
hag queen on cauldron of blood,6,5,8,13,7,"order,aelf,daughters of khaine,totem,hero,priest,witch aelves,hag queen,avatar of khaine,cauldron of blood",0,1,10,6,3,3,1,1,1,8,3,4,,1,1,4,3,4,1,1,2,4,3,3,2,3
khinerai heartrenders,14,6,7,1,6,"order,daughters of khaine,khinerai harpies,khinerai heartrenders",0,1,12,1,3,3,1,1,2,1,4,4,1,1,,,,,,,,,,,,
khinerai lifetakers,14,6,7,1,6,"order,daughters of khaine,khinerai harpies,khinerai lifetakers",0,0,1,2,3,4,,1,,,,,,,,,,,,,,,,,,
morathi,14,4,9,12,10,"order,aelf,daughters of khaine,monster,hero,wizard,morathi,the shadow queen",1,1,6,1,2,2,1,3,2,6,3,3,2,3,1,5,3,3,,1,3,1,3,3,2,6
sisters of slaughter,6,6,7,1,5,"order,aelf,daughters of khaine,sisters of slaughter",0,1,2,2,3,4,,1,,,,,,,,,,,,,,,,,,
slaughter queen,6,5,9,5,3,"order,aelf,daughters of khaine,hero,priest,slaughter queen",0,0,1,4,3,4,1,1,1,3,3,3,1,2,,,,,,,,,,,,
slaughter queen on cauldron of blood,6,5,9,13,8,"order,aelf,daughters of khaine,totem,hero,priest,witch aelves,slaughter queen,avatar of khaine,cauldron of blood",0,1,10,6,3,3,1,1,1,8,3,4,,1,1,4,3,4,1,1,2,4,3,,,
witch aelves,6,6,7,1,6,"order,aelf,daughters of khaine,witch aelves",0,1,1,2,3,4,,1,,,,,,,,,,,,,,,,,,
anointed,6,4,7,5,3,"order,aelf,cities of sigmar,phoenix temple,hero,anointed",0,0,2,4,3,3,1,1,,,,,,,,,,,,,,,,,,
anointed on flame phoenix,16,4,8,12,7,"order,aelf,cities of sigmar,phoenix temple,monster,hero,flamespyre phoenix",0,0,2,6,4,3,1,2,2,4,3,3,1,1,,,,,,,,,,,,
anointed on frost phoenix,16,4,9,12,6,"order,aelf,cities of sigmar,phoenix temple,monster,hero,frostheart phoenix",0,0,2,8,3,3,1,2,2,4,3,3,1,1,,,,,,,,,,,,
assassin,6,5,7,5,5,"order,aelf,cities of sigmar,shadowblades,hero,assassin",0,0,1,6,3,3,1,1,,,,,,,,,,,,,,,,,,
battlemage,5,6,6,5,4,"order,human,cities of sigmar,collegiate arcane,hero,wizard,battlemage",1,0,2,1,4,3,1,2,,,,,,,,,,,,,,,,,,
battlemage on griffon,15,5,6,13,8,"order,human,cities of sigmar,collegiate arcane,monster,hero,wizard,battlemage",1,0,2,1,4,3,1,2,2,4,3,3,1,6,2,3,4,3,1,2,,,,,,
black ark corsairs,6,5,6,1,5,"order,aelf,cities of sigmar,scourge privateers,black ark corsairs",0,0,9,2,5,4,,1,1,1,4,5,,1,,,,,,,,,,,,
black ark fleetmaster,6,4,7,5,3,"order,aelf,cities of sigmar,scourge privateers,hero,black ark fleetmaster",0,0,1,3,4,,1,1,1,2,4,3,1,1,,,,,,,,,,,,
black guard,6,4,8,1,4,"order,aelf,cities of sigmar,darkling coven,black guard",0,0,2,2,3,3,1,1,,,,,,,,,,,,,,,,,,
bleakswords,6,4,6,1,5,"order,aelf,cities of sigmar,darkling coven,bleakswords",0,0,1,1,4,4,,1,,,,,,,,,,,,,,,,,,
hurricanum,10,4,6,11,5,"order,human,cities of sigmar,collegiate arcane,celestial hurricanum",0,1,1,4,5,5,,1,,,,,,,,,,,,,,,,,,
hurricanum with mage,10,4,6,11,11,"order,human,cities of sigmar,collegiate arcane,hero,wizard,celestial hurricanum",1,1,2,1,4,3,1,2,1,4,5,5,,1,,,,,,,,,,,,
cogsmith,4,5,7,5,2,"order,duardin,cities of sigmar,ironweld arsenal,hero,engineer,cogsmith",0,0,8,2,4,3,1,1,1,4,3,4,,1,,,,,,,,,,,,
dark riders,14,4,6,2,6,"order,aelf,cities of sigmar,shadowblades,dark riders",0,0,16,3,5,4,,1,2,1,4,4,,1,1,2,4,5,,1,,,,,,
darkshards,6,5,6,1,4,"order,aelf,cities of sigmar,darkling coven,darkshards",0,0,16,2,4,4,,1,1,1,5,5,,1,,,,,,,,,,,,
demigryph knights,10,3,6,4,6,"order,human,cities of sigmar,freeguild,demigryph knights",0,0,2,3,3,3,1,1,1,3,3,3,1,1,,,,,,,,,,,,
drakespawn chariots,10,4,7,6,2,"order,aelf,cities of sigmar,order serpentis,drakespawn chariots",0,0,16,4,5,4,,1,2,2,3,4,1,1,1,4,3,4,,1,,,,,,
drakespawn knights,10,3,7,2,5,"order,aelf,cities of sigmar,order serpentis,drakespawn knights",0,0,2,1,3,4,1,1,1,2,3,4,,1,,,,,,,,,,,,
dreadlord on black dragon,14,4,8,14,7,"order,aelf,cities of sigmar,order serpentis,dragon,monster,hero,dreadlord",0,1,16,4,4,4,,1,1,6,3,4,,1,2,3,3,3,1,1,,,,,,
dreadspears,6,4,6,1,5,"order,aelf,cities of sigmar,darkling coven,dreadspears",0,0,2,1,4,4,,1,,,,,,,,,,,,,,,,,,
eternal guard,6,4,7,1,5,"order,aelf,cities of sigmar,wanderer,eternal guard",0,0,2,2,3,4,,1,,,,,,,,,,,,,,,,,,
executioners,6,4,7,1,4,"order,aelf,cities of sigmar,darkling coven,executioners",0,0,1,2,3,3,,1,,,,,,,,,,,,,,,,,,
flagellants,6,,8,1,4,"order,human,cities of sigmar,devoted of sigmar,flagellants",0,0,1,2,5,4,,1,,,,,,,,,,,,,,,,,,
flame phoenix,16,4,8,12,4,"order,aelf,cities of sigmar,phoenix temple,monster,flamespyre phoenix",0,0,2,6,4,3,1,2,,,,,,,,,,,,,,,,,,
freeguild crossbowmen,5,6,5,1,4,"order,human,cities of sigmar,freeguild,freeguild crossbowmen",0,0,24,1,4,3,,1,1,1,5,5,,1,,,,,,,,,,,,
freeguild general,5,4,7,5,3,"order,human,cities of sigmar,freeguild,hero,freeguild general",0,0,1,3,3,3,2,2,,,,,,,,,,,,,,,,,,
freeguild general on griffon,15,4,7,13,7,"order,human,cities of sigmar,freeguild,monster,hero,freeguild general",0,1,2,4,3,4,1,2,2,2,3,3,2,6,2,4,4,3,1,2,,,,,,
freeguild greatswords,5,4,6,1,5,"order,human,cities of sigmar,freeguild,freeguild greatswords",0,0,1,2,3,3,1,1,,,,,,,,,,,,,,,,,,
freeguild guard,5,5,5,1,6,"order,human,cities of sigmar,freeguild,freeguild guard",0,0,1,1,4,3,1,1,,,,,,,,,,,,,,,,,,
freeguild handgunners,5,6,5,1,6,"order,human,cities of sigmar,freeguild,freeguild handgunners",0,0,16,1,4,3,1,1,1,1,5,5,,1,,,,,,,,,,,,
freeguild outriders,12,5,6,2,5,"order,human,cities of sigmar,freeguild,freeguild outriders",0,1,16,2,5,3,1,1,9,2,3,3,1,1,1,1,4,4,,1,,,,,,
freeguild pistoliers,12,5,5,2,5,"order,human,cities of sigmar,freeguild,freeguild pistoliers",0,1,9,2,4,3,1,1,1,2,4,4,,1,,,,,,,,,,,,
frost phoenix,16,4,9,12,3,"order,aelf,cities of sigmar,phoenix temple,monster,frostheart phoenix",0,0,2,8,3,3,1,2,,,,,,,,,,,,,,,,,,
gyrobombers,12,4,6,5,2,"order,duardin,cities of sigmar,ironwled arsenal,war machine,gyrobombers",0,0,20,4,4,3,1,1,1,2,5,4,,1,,,,,,,,,,,,
gyrocopters,16,4,6,4,3,"order,duardin,cities of sigmar,ironwled arsenal,war machine,gyrocopters",0,0,16,3,3,3,1,1,1,2,5,4,,1,,,,,,,,,,,,
hammerers,4,4,7,1,5,"order,duardin,cities of sigmar,dispossessed,hammerers",0,0,1,2,3,3,1,1,,,,,,,,,,,,,,,,,,
hellblaster volley gun,3,4,5,7,3,"order,human,cities of sigmar,ironweld arsenal,war machine,helblaster volley gun",0,0,24,7,4,3,1,1,1,3,5,5,,1,,,,,,,,,,,,
helstorm rocket battery,3,4,5,7,2,"order,human,cities of sigmar,ironweld arsenal,war machine,helstorm rocket battery",0,0,36,3,5,3,2,2,1,3,5,5,,1,,,,,,,,,,,,
ironbreakers,4,3,7,1,5,"order,duardin,cities of sigmar,dispossessed,ironbreakers",0,0,8,2,4,3,1,1,1,2,3,4,,1,,,,,,,,,,,,
irondrakes,4,4,7,1,8,"order,duardin,cities of sigmar,dispossessed,irondrakes",0,0,16,1,3,3,1,1,1,1,4,4,,1,,,,,,,,,,,,
kharibdyss,7,4,6,12,4,"order,aelf,cities of sigmar,scourge privateers,monster,kharibdyss",0,0,3,6,4,3,1,2,1,2,3,3,1,1,2,2,4,4,,1,,,,,,
longbeards,4,4,7,1,5,"order,duardin,cities of sigmar,dispossessed,longbeards",0,0,1,1,3,3,1,1,1,1,3,4,,1,,,,,,,,,,,,
luminark of hysh,10,4,6,11,5,"order,human,cities of sigmar,collegiate arcane,luminark of hysh",0,0,1,4,5,5,,1,1,4,4,4,,1,,,,,,,,,,,,
luminark of hysh with battlemage,10,4,6,11,11,"order,human,cities of sigmar,collegiate arcane,luminark of hysh",1,0,1,4,5,5,,1,1,4,4,4,,1,2,1,4,3,1,2,,,,,,
nomand prince,6,3,8,5,2,"order,aelf,cities of sigmar,wanderer,hero,nomad prince",0,0,2,4,3,3,1,2,,,,,,,,,,,,,,,,,,
phoenix guard,6,4,7,1,5,"order,aelf,cities of sigmar,phoenix temple,phoenix guard",0,0,2,2,3,3,1,1,,,,,,,,,,,,,,,,,,
runelord,4,4,7,5,2,"order,duardin,cities of sigmar,dispossessed,hero,priest,runelord",0,0,1,1,4,3,,2,1,2,4,4,,1,,,,,,,,,,,,
scourgerunner chariots,12,5,6,6,3,"order,aelf,cities of sigmar,scourge privateers,scourgerunner chariots",0,1,16,4,5,4,,1,2,2,4,4,,1,18,2,3,3,1,2,,,,,,
shadow warriors,6,5,6,1,3,"order,aelf,cities of sigmar,shadowblades,shadow warriors",0,1,18,1,3,4,1,1,1,2,3,4,,1,,,,,,,,,,,,
sisters of the thorn,12,5,7,2,7,"order,aelf,cities of sigmar,wanderer,wizard,sisters of the thorn",1,0,9,2,4,4,1,1,2,1,4,4,,1,1,2,4,4,,1,,,,,,
sisters of the watch,6,5,7,1,4,"order,aelf,cities of sigmar,wanderer,sisters of the watch",0,0,18,1,3,3,,1,1,1,4,4,,1,,,,,,,,,,,,
sorceress,6,6,7,5,5,"order,aelf,cities of sigmar,darkling coven,hero,wizard,sorceress",0,1,2,1,4,3,1,2,,,,,,,,,,,,,,,,,,
sorceress on black dragon,14,5,7,14,9,"order,aelf,cities of sigmar,darkling coven,dragon,monster,hero,wizard,sorceress",1,0,1,1,4,3,1,2,3,3,4,2,2,4,2,6,4,3,1,2,,,,,,
steam tank,7,3,8,12,4,"order,human,cities of sigmar,ironweld arsenal,war machine,steam tank",0,0,30,1,3,3,1,2,30,1,4,2,2,4,8,7,4,2,,1,1,2,5,4,,1
steam tank with commander,7,3,8,12,6,"order,human,cities of sigmar,ironweld arsenal,war machine,steam tank",0,0,30,1,3,3,1,2,30,1,4,2,2,4,8,7,4,2,,1,1,2,5,4,,1
war hydra,8,4,12,6,3,"order,aelf,cities of sigmar,order serpentis,monster,war hydra",0,0,9,6,3,3,1,1,2,6,4,3,1,2,1,2,3,3,1,1,2,2,4,4,,1
warden king,4,3,8,5,2,"order,duardin,cities of sigmar,dispossessed,hero,warden king",0,0,1,4,3,3,1,2,,,,,,,,,,,,,,,,,,
wild riders,12,5,8,2,4,"order,aelf,cities of sigmar,wanderer,wild riders",0,0,2,2,3,4,1,1,1,2,4,4,,1,,,,,,,,,,,,
wildwood rangers,6,5,7,1,4,"order,aelf,cities of sigmar,wanderer,wildwood ranger",0,0,2,2,3,3,1,1,,,,,,,,,,,,,,,,,,
akhelian allopexes,12,4,6,8,2,"order,aelf,idoneth deepkin,akhelian,monster,allopex",0,0,24,3,3,3,,1,1,1,3,3,2,3,1,4,3,3,1,1,,,,,,
akhelian ishlaen guard,14,4,6,4,3,"order,aelf,idoneth deepkin,akhelian,akhelian guard,ishlaen guard",0,0,1,3,3,3,,1,1,1,3,3,,2,2,2,3,3,,1,,,,,,
akhelian king,14,3,8,7,6,"order,aelf,idoneth deepkin,hero,akhelian,akhelian king",0,1,2,3,3,3,2,2,1,3,3,4,,1,2,3,3,3,1,1,2,3,3,3,,2
akhelian leviadon,12,3,7,16,3,"order,aelf,idoneth deepkin,monster,akhelian,leviadon",0,0,24,6,3,3,,1,1,1,2,2,2,4,2,4,3,3,1,3,1,4,3,3,,1
akhelian morrsarr guard,14,4,6,4,4,"order,aelf,idoneth deepkin,akhelian,akhelian guard,morrsarr guard",0,1,2,2,3,3,2,2,1,1,3,3,,2,2,2,3,3,,1,,,,,,
aspect of the storm,12,3,10,12,4,"order,aelf,idoneth deepkin,eidolon,hero,aspect of the storm",0,0,2,4,3,2,2,2,1,4,2,3,1,1,3,7,4,4,,1,,,,,,
aspect of the sea,10,3,10,12,7,"order,aelf,idoneth deepkin,eidolon,hero,wizard,aspect of the sea",2,0,15,2,3,3,2,2,2,3,3,3,2,2,1,3,3,3,1,1,3,7,4,4,,1
isharann soulrender,6,4,8,5,2,"order,aelf,idoneth deepkin,isharann,hero,soulrender",0,0,2,2,3,3,1,2,3,2,3,3,1,1,,,,,,,,,,,,
isharann soulscryer,6,6,7,5,2,"order,aelf,idoneth deepkin,isharann,hero,priest,soulscryer",0,1,18,8,5,5,,1,1,3,3,4,,1,,,,,,,,,,,,
isharann tidecaster,6,6,7,5,5,"order,aelf,idoneth deepkin,isharann,hero,wizard,tidecaster",1,1,1,2,3,3,,2,,,,,,,,,,,,,,,,,,
lotann,6,6,7,5,2,"order,aelf,idoneth deepkin,isharann,soul warden,hero,lotann",0,0,1,1,3,5,,1,3,1,4,3,1,2,3,1,3,4,1,1,3,6,4,4,,1
namarti reavers,8,5,6,1,3,"order,aelf,idoneth deepkin,namarti,reavers",0,0,18,1,4,4,,1,1,2,3,4,,1,,,,,,,,,,,,
namarti thralls,6,5,6,1,2,"order,aelf,idoneth deepkin,namarti,thralls",0,1,1,2,3,3,1,1,,,,,,,,,,,,,,,,,,
volturnos,14,3,8,8,7,"order,aelf,idoneth deepkin,akhelian,hero,akhkelian king,volturnos",0,1,1,5,3,3,1,2,2,3,3,3,1,1,2,3,3,3,,2,,,,,,
abhorrant archregent,6,4,10,7,5,"death,vampire,flesh-eater courts,abhorrant,hero,wizard,abhorrant archregent",2,1,1,7,3,3,1,1,,,,,,,,,,,,,,,,,,
abhorrant ghoul king on royal terrogheist,14,4,10,14,10,"death,vampire,flesh-eater courts,abhorrant,monster,hero,wizard,abhorrant ghoul king",1,1,1,5,3,3,1,1,2,4,4,3,1,2,3,3,4,3,2,6,,,,,,
abhorrant ghoul king on royal zombie dragon,14,4,10,14,8,"death,vampire,flesh-eater courts,abhorrant,monster,hero,wizard,abhorrant ghoul king",1,1,1,5,3,3,1,1,2,7,4,3,1,2,3,3,4,3,2,4,,,,,,
abhorrant ghoul king,6,4,10,6,5,"death,vampire,flesh-eater courts,abhorrant,hero,wizard,abhorrant ghoul king",1,1,1,6,3,3,1,1,,,,,,,,,,,,,,,,,,
crypt flayers,12,5,10,4,4,"death,mordant,flesh-eater courts,knights,crypt-flayers",0,1,1,4,4,3,1,1,,,,,,,,,,,,,,,,,,
crypt ghast courtier,6,5,10,4,2,"death,mordant,flesh-eater courts,courtier,hero,crypt ghast courtier",0,1,1,3,3,3,,1,1,2,4,3,,1,,,,,,,,,,,,
crypt ghouls,6,6,10,1,3,"death,mordant,flesh-eater courts,serf,crypt ghouls",0,1,1,2,4,4,,1,,,,,,,,,,,,,,,,,,
crypt haunter courtier,7,4,10,6,3,"death,mordant,flesh-eater courts,courtier,hero,crypt haunter courtier",0,0,1,3,4,3,,3,1,2,4,3,,1,,,,,,,,,,,,
crypt horrors,7,5,10,4,4,"death,mordant,flesh-eater courts,knights,crypt-flayers",0,0,1,3,4,3,,2,,,,,,,,,,,,,,,,,,
crypt infernal courtier,12,4,10,6,3,"death,mordant,flesh-eater courts,courtier,hero,crypt infernal courtier",0,0,9,1,4,3,1,2,1,5,4,3,1,2,,,,,,,,,,,,
royal terrorgheist,14,4,10,14,5,"death,flesh-eater courts,menagerie,monster,terrorgheist",0,0,2,4,4,3,1,2,3,3,4,3,2,6,,,,,,,,,,,,
royal zombie dragon,14,4,10,14,5,"death,flesh-eater courts,menagerie,monster",0,0,2,4,4,3,1,2,3,3,4,3,2,6,,,,,,,,,,,,
varghulf courtier,10,5,10,8,5,"death,mordant,flesh-eater courts,courtier,hero,varghulf courtier",0,0,2,4,3,3,1,2,1,1,3,2,2,2,,,,,,,,,,,,
archaon,14,3,10,20,13,"chaos,daemon,mortal,slaves to darkness,everchosen,khorne,tzeentch,nurgle,slaanesh,hedonite,undivided,monster,hero,wizard,archaon",2,1,1,4,2,3,2,3,1,2,2,3,2,4,3,7,4,3,,1,3,6,3,3,1,2
belakor,12,4,10,8,7,"chaos,daemon,slaves to darkness,undivided,hero,wizard,daemon prince,belakor",2,1,1,6,3,3,1,2,,,,,,,,,,,,,,,,,,
chaos chariots,12,4,6,7,5,"chaos,mortal,slaves to darkness,mark of chaos,chaos chariots",0,0,2,2,4,4,,1,2,2,3,3,1,2,1,4,4,4,,1,,,,,,
chaos chosen,6,4,7,2,6,"chaos,mortal,slaves to darkness,mark of chaos,chaos chosen",0,0,1,13,3,3,1,1,,,,,,,,,,,,,,,,,,
chaos knights,10,3,4,7,8,"chaos,mortal,slaves to darkness,mark of chaos,chaos knights",0,1,2,2,4,3,,1,1,2,4,4,,1,,,,,,,,,,,,
chaos lord on manticore,12,4,8,12,9,"chaos,mortal,manticore,slaves to darkness,mark of chaos,eye of the gods,monster,hero,chaos lord",0,0,1,3,3,3,1,2,1,5,3,2,1,2,3,5,4,4,,1,,,,,,
chaos lord,5,4,8,7,3,"chaos,mortal,slaves to darkness,mark of chaos,eye of the gods,hero,chaos lord",0,0,2,3,3,3,2,2,2,6,4,4,2,1,,,,,,,,,,,,
chaos lord on daemonic mount,10,4,8,8,6,"chaos,daemon,mortal,slaves to darkness,mark of chaos,eye of the gods,hero,chaos lord",0,0,1,4,3,3,1,2,1,3,4,3,,1,,,,,,,,,,,,
chaos lord on karkadrak,9,3,8,9,7,"chaos,mortal,slaves to darkness,mark of chaos,eye of the gods,hero,chaos lord",0,0,1,5,3,3,,2,1,3,3,3,1,2,1,3,4,3,1,2,1,2,4,4,,1
chaos marauder horsemen,12,6,5,2,8,"chaos,mortal,slaves to darkness,mark of chaos,chaos marauder horsemen",0,0,12,1,4,3,1,1,1,2,4,4,,1,1,2,4,4,,1,,,,,,
chaos marauders,6,6,5,1,7,"chaos,mortal,slaves to darkness,mark of chaos,chaos marauderse",0,1,1,2,4,4,,1,,,,,,,,,,,,,,,,,,
chaos sorcerer lord on manticore,12,4,8,12,8,"chaos,mortal,manticore,slaves to darkness,mark of chaos,eye of the gods,monster,hero,wizard,chaos sorcerer lord",1,0,2,3,3,3,1,2,1,5,3,2,1,2,3,5,4,4,,1,,,,,,
chaos sorcerer lord,5,4,7,5,6,"chaos,mortal,slaves to darkness,mark of chaos,eye of the gods,hero,wizard,chaos sorcerer lord",1,0,2,1,4,3,1,2,1,2,3,3,,1,,,,,,,,,,,,
chaos spawn,7,5,10,5,2,"chaos,beasts of chaos,mortal,slaves to darkness,chaos spawn",0,0,1,7,4,4,,1,,,,,,,,,,,,,,,,,,
chaos warriors,5,4,7,2,7,"chaos,mortal,slaves to darkness,mark of chaos,chaos warriors",0,0,1,2,3,3,,1,2,2,3,4,,1,1,2,4,3,1,1,,,,,,
chaos warshrine,8,4,7,12,7,"chaos,mortal,slaves to darkness,totem,priest,mark of chaos,chaos warshrine",0,0,1,4,3,3,1,2,1,6,4,3,,2,,,,,,,,,,,,
darkoath chieftain,6,5,8,6,3,"chaos,mortal,slaves to darkness,hero,eye of the gods,darkoath chieftain",0,0,1,1,3,3,,1,1,3,4,3,1,2,,,,,,,,,,,,
darkoath warqueen,6,5,8,6,3,"chaos,mortal,slaves to darkness,eye of the gods,hero,darkoath warqueen",0,0,1,6,3,3,1,1,,,,,,,,,,,,,,,,,,
exalted hero of chaos,5,4,8,5,5,"chaos,mortal,slaves to darkness,mark of chaos,eye of the gods,hero,exalted hero of chaos",0,0,1,4,3,3,1,1,,,,,,,,,,,,,,,,,,
furies,12,,10,2,2,"chaos,daemon,slaves to darkness,furies",0,0,1,2,4,3,1,1,,,,,,,,,,,,,,,,,,
gaunt summoner on disc of tzeentch,16,6,8,6,9,"chaos,daemon,mortal,slaves to darkness,everchosen,tzeentch,hero,wizard,gaunt summoner",2,1,18,1,3,4,,2,1,1,3,4,,1,1,2,4,4,,1,,,,,,
gorebeast chariots,9,4,6,8,5,"chaos,mortal,slaves to darkness,mark of chaos,gorebeast chariots",0,0,2,2,4,4,,1,2,2,3,3,1,2,1,3,3,3,,2,,,,,,
mutalith vortex beast,10,4,7,12,5,"chaos,slaves to darkness,monster,mutalith vortex beast",0,0,2,4,4,2,1,2,2,10,4,4,,1,,,,,,,,,,,,
slaughterbrute,10,4,7,12,3,"chaos,monster,slaves to darkness,slaughterbrute",0,0,2,6,4,3,1,2,2,4,4,2,,3,1,2,4,3,,1,,,,,,
daemon prince,12,3,10,8,9,"chaos,daemon,slaves to darkness,hero,mark of chaos,daemon prince",0,0,1,3,3,3,2,2,1,3,3,3,,2,,,,,,,,,,,,
soul grinder,12,4,10,16,3,"chaos,daemon,slaves to darkness,monster,mark of chaos,soul grinder",0,0,16,6,4,3,1,11,20,1,4,3,2,3,2,1,4,3,2,6,2,2,3,2,3,
varanguard,10,3,9,5,7,"chaos,mortal,slaves to darkness,everchosen,mark of chaos,varanguard",0,0,1,6,3,3,1,1,1,3,4,3,,1,,,,,,,,,,,,
butcher,6,5,8,7,4,"destruction,ogor,ogor mawtribes,gutbusters,hero,wizard,butcher",1,0,1,3,3,3,1,3,1,3,3,3,2,2,1,1,3,3,,1,,,,,,
firebelly,6,5,6,7,4,"destruction,ogor,ogor mawtribes,hero,wizard ",1,0,2,2,3,3,1,2,,,,,,,,,,,,,,,,,,
frost sabres,9,6,5,2,1,"destruction,ogor mawtribes,beastclaw raiders,frost sabres",0,0,1,3,4,3,1,1,,,,,,,,,,,,,,,,,,
frostlord on stonehorn,12,3,9,13,4,"destruction,ogor,stonehorn,ogor mawtribes,beastclaw raiders,monster,hero,frostlord",0,1,2,4,3,3,1,3,1,3,3,3,,1,2,6,4,3,2,3,2,4,3,2,1,2
frostlord on thundertusk,8,3,9,13,4,"destruction,ogor,thundertusk,ogor mawtribes,beastclaw raiders,monster,hero,frostlord",0,0,2,4,3,3,1,3,1,3,3,3,,1,2,4,3,2,1,2,,,,,,
gnoblar scraplauncher,7,4,5,9,2,"destruction,grot,rhinox,ogor mawtribes,gutbusters,gnoblar scraplauncher",0,0,36,3,3,4,,2,1,7,5,5,,1,1,2,4,3,1,2,,,,,,
gnoblars,5,6,4,1,3,"destruction,grot,ogor mawtribes,gutbusters,gnoblars",0,0,8,1,4,5,,1,1,1,5,5,,1,,,,,,,,,,,,
gorgers,6,6,8,5,2,"destruction,ogor,ogor mawtribes,gutbusters,gorgers",0,0,1,4,3,3,,2,1,1,3,3,1,2,,,,,,,,,,,,
huskard on stonehorn,12,4,8,12,5,"destruction,ogor,stonehorn,ogor mawtribes,beastclaw raiders,monster,hero,huskard",0,1,1,3,3,4,,1,2,6,4,3,2,3,1,4,3,2,1,2,,,,,,
huskard on thundertusk,8,4,8,12,5,"destruction,ogor,thundertusk,ogor mawtribes,beastclaw raiders,monster,hero,priest,huskard",0,0,1,3,3,4,,1,2,4,3,2,1,2,,,,,,,,,,,,
